id,last_name,first_name,title,address,city,zip_code,phone_number,email,social_security_regime,birth_date,effective_date,spouse_birth_date,num_children,source,child1_birth_date,child2_birth_date,child3_birth_date,child4_birth_date,child5_birth_date,submission_date,medical_care,hospitalization,optical,dental,age_at_submission,current_age,spouse_age_at_submission,spouse_current_age,child1_age_at_submission,child1_current_age,child2_age_at_submission,child2_current_age,child3_age_at_submission,child3_current_age,child4_age_at_submission,child4_current_age,child5_age_at_submission,child5_current_age,spouse_age_diff,child_age_diff,days_to_effective,social_security_regime_encoded,regime_score,source_score,zip_score,coverage_score,children_score,age_score,email_quality,phone_quality,contact_quality_score,priority_score,days_since_submission,freshness_multiplier,adjusted_score
4234,André,Alain,Mme,194 Rue Victor Hugo,Villeurbanne,69100,0687960204,alain.andre@orange.fr,Régime TNS,1990-07-10,2024-09-04,,2,web,2013-03-23,2011-12-06,,,,2024-05-08,3,4,2,2,33,35,-999,-999,11,12,12,13,-999,-999,-999,-999,-999,-999,,21,119,3,1.0,0,0,11,2,0.0,0.5,1.0,1.5,15.5,570.0,0.2,3.1
6366,Bernard,Alain,M,153 Rue Nationale,Strasbourg,67000,0614967375,alain.bernard@gmail.com,Régime agricole,1971-07-28,2023-04-16,1967-05-11,1,web,2000-03-08,,,,,2023-08-04,2,3,4,3,52,54,56,58,23,25,-999,-999,-999,-999,-999,-999,-999,-999,4.0,29,0,4,0.5,0,0,12,1,1.0,0.5,1.0,1.5,18.0,848.0,0.2,3.6
7457,Bernard,Alain,M,184 Rue République,Argenteuil,95100,0629993665,alain.bernard@gmail.com,Régime général,1953-10-02,2025-05-31,,0,DR,2004-09-25,2018-03-23,,,,,3,3,3,4,-999,72,-999,-999,-999,21,-999,7,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,1,12,0,0.0,0.5,1.0,1.5,16.0,,,
8832,Bernard,Alain,M,72 Rue République,Paris,75001,0600391707,alain.bernard@yahoo.fr,Régime général,1987-07-09,2021-01-12,,0,PROGES,,,,,,,2,3,3,3,-999,38,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,1,11,0,0.0,0.5,1.0,1.5,15.0,,,
8070,Bertrand,Alain,M,151 Rue Victor Hugo,Créteil,94000,0639901503,alain.bertrand@orange.fr,Régime TNS,2001-08-14,2023-09-13,1996-05-03,0,web,,,,,,,2,4,4,3,-999,24,-999,29,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,3,1.0,0,1,12,0,0.0,0.5,1.0,1.5,15.5,,,
4449,Bertrand,Alain,M,181 Rue des Fleurs,Grenoble,38000,0633169650,alain.bertrand@sfr.fr,Régime agricole,1980-04-07,2022-06-04,,1,web,2008-06-23,,,,,2022-12-04,3,1,3,4,42,45,-999,-999,14,17,-999,-999,-999,-999,-999,-999,-999,-999,,28,0,4,0.5,0,0,11,1,0.5,0.5,1.0,1.5,15.5,1091.0,0.2,3.1
9802,Blanc,Alain,Mme,133 Rue Nationale,Boulogne-Billancourt,92100,0652340636,alain.blanc@sfr.fr,Régime général,1959-04-05,2019-12-18,,0,zra-sept,2007-08-27,,,,,,4,3,4,4,-999,66,-999,-999,-999,18,-999,-999,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,1,12,0,0.0,0.5,1.0,1.5,16.0,,,
12667,Bonnet,Alain,Mme,73 Rue de la Paix,Lyon,69001,0777873851,alain.bonnet3@gmail.com,Régime général,1961-04-08,2025-01-30,,0,web,,,,,,2024-08-12,4,3,3,4,63,64,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,,0,171,1,0.5,0,0,12,0,1.0,0.5,1.0,1.5,15.0,474.0,0.2,3.0
4538,Bonnet,Alain,Mme,190 Rue Nationale,Villeurbanne,69100,0645839187,alain.bonnet@yahoo.fr,Régime agricole,1960-01-15,2020-03-30,1955-10-20,0,couple30_54_Vital,2014-11-14,2017-08-24,,,,,2,4,4,2,-999,65,-999,70,-999,11,-999,8,-999,-999,-999,-999,-999,-999,,0,0,4,0.5,1,0,12,0,0.0,0.5,1.0,1.5,16.0,,,
9001,David,Alain,Mme,183 Rue Victor Hugo,Grenoble,38000,0616159227,alain.david18@laposte.net,Régime général,1978-06-17,2021-01-06,1980-01-26,0,MH-30M,,,,,,2020-04-12,3,3,2,2,41,47,40,45,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.0,0,269,1,0.5,1,0,10,0,0.5,0.5,1.0,1.5,14.5,2057.0,0.2,2.9
8497,David,Alain,Mme,14 Rue des Fleurs,Boulogne-Billancourt,92100,0656188007,alain.david76@sfr.fr,Régime général,1945-06-12,2022-05-08,,0,web,2019-06-24,2007-10-19,2010-06-10,,,,3,3,2,3,-999,80,-999,-999,-999,6,-999,18,-999,15,-999,-999,-999,-999,,0,0,1,0.5,0,1,11,0,0.0,0.5,1.0,1.5,14.0,,,
11522,David,Alain,M,144 Rue Victor Hugo,Reims,51100,0719854237,alain.david@sfr.fr,Régime général,1975-04-06,2022-12-06,1979-10-12,0,DR,2016-02-16,2002-06-19,,,,,2,1,4,1,-999,50,-999,46,-999,9,-999,23,-999,-999,-999,-999,-999,-999,,0,0,1,0.5,1,0,8,0,0.0,0.5,1.0,1.5,12.0,,,
14648,Dubois,Alain,M,89 Rue Victor Hugo,Strasbourg,67000,0614231339,alain.dubois@gmail.com,Régime général,1950-04-20,2021-05-07,,2,web,1996-02-26,2017-05-18,,,,2021-06-04,4,4,4,4,71,75,-999,-999,25,29,4,8,-999,-999,-999,-999,-999,-999,,46,0,1,0.5,0,0,12,2,1.5,0.5,1.0,1.5,18.5,1639.0,0.2,3.7
6386,Dubois,Alain,Mme,182 Rue de la Paix,Saint-Étienne,42000,0745512496,alain.dubois@orange.fr,Régime TNS,1974-01-19,2025-10-20,,3,MH80,2016-09-28,2004-01-07,2024-12-21,,,2025-09-08,4,3,3,4,51,51,-999,-999,8,9,21,21,0,0,-999,-999,-999,-999,,30,42,3,1.0,1,0,12,2,1.0,0.5,1.0,1.5,19.5,82.0,0.25495539602650996,4.97
