id,nom,prenom,civilite,adresse,ville,zipcode,num_tel,email,regime,date_naiss,date_effect,conjointbirthdate,nbrenfants,source,birthdatechild1,birthdatechild2,birthdatechild3,birthdatechild4,birthdatechild5,dcr,soin_medical,hospitalisation,optique,dentaire
1,Roux,Émilie,M,130 Rue des Fleurs,Montpellier,34000,0683863794,emilie.roux@hotmail.fr,Hors sécu,24/03/1988,08/04/2020,19/02/1985,1,MH-32MC,01/01/2014,,,,,01/04/2020 00:00:00,ELEVE,MOYEN,MOYEN,ECO
2,Moreau,Véronique,Mme,97 Rue de la Paix,Strasbourg,67000,0795931034,veronique.moreau13@hotmail.fr,Régime général,04/06/1944,28/10/2023,28/06/1948,2,MH-30M,09/10/2012,24/01/1998,,,,28/09/2023 00:00:00,ECO,MAXI,MAXI,MOYEN
3,Perrin,Jacqueline,Mme,137 Rue Victor Hugo,Reims,51100,0676483503,jacqueline.perrin@hotmail.fr,Régime général,12/06/1995,12/05/2023,22/12/1996,0,web,,,,,,06/04/2023 00:00:00,ELEVE,MOYEN,MOYEN,ELEVE
4,Muller,Sylvie,M,191 Rue des Fleurs,Boulogne-Billancourt,92100,0796965328,sylvie_muller@gmail.com,Régime général,21/04/1984,08/01/2022,05/08/1979,0,web,,,,,,01/01/2022 00:00:00,MOYEN,ELEVE,MOYEN,ELEVE
5,Simon,David,M,175 Rue de la Paix,Saint-Denis,93200,0751462704,davidsimon14@hotmail.fr,Régime général,20/07/1959,10/04/2020,15/10/1958,1,web,18/05/2004,,,,,25/03/2020 00:00:00,MOYEN,MOYEN,MAXI,MAXI
6,Lefevre,Christine,M,62 Rue de la Paix,Argenteuil,95100,0691171822,christinelefevre@free.fr,Régime général,25/09/1994,30/06/2022,,2,web,11/10/2022,04/01/2015,,,,07/05/2022 00:00:00,ELEVE,MOYEN,MOYEN,ELEVE
7,Roussel,Valérie,Mme,103 Rue République,Le Havre,76600,0787133150,valerieroussel29@sfr.fr,Régime agricole,18/04/1941,31/12/2020,,0,web,,,,,,07/11/2020 00:00:00,MAXI,ELEVE,ELEVE,ELEVE
8,Perrin,Audrey,M,72 Rue Nationale,Lyon,69001,0682997376,audrey.perrin56@gmail.com,Hors sécu,02/02/1987,06/02/2019,,0,MH50-Eric,,,,,,30/01/2019 00:00:00,MAXI,MAXI,ELEVE,MAXI
9,Martinez,Pascal,Mme,187 Rue République,Montreuil,93100,0633387262,pascal_martinez10@free.fr,Régime général,21/11/2001,03/01/2023,,0,web,,,,,,22/12/2022 00:00:00,MOYEN,MOYEN,MOYEN,MAXI
10,Morin,Sophie,M,105 Rue Nationale,Angers,49000,0736026064,sophie_morin@orange.fr,Régime général,03/01/1952,26/01/2024,,0,web,,,,,,21/12/2023 00:00:00,MOYEN,MAXI,MOYEN,MAXI
11,Lefebvre,Christine,Mme,41 Rue de la Paix,Lille,59000,0621913619,christine.lefebvre@sfr.fr,Régime général,19/01/1994,16/06/2025,,2,web,11/12/2025,19/01/2025,,,,26/03/2025 00:00:00,MAXI,ELEVE,ELEVE,ELEVE
12,Henry,Alexandre,Mme,118 Rue République,Nîmes,30000,0607991183,alexandrehenry45@orange.fr,Régime général,09/06/1968,24/01/2020,09/04/1968,0,web,,,,,,02/12/2019 00:00:00,MAXI,ELEVE,MOYEN,ECO
13,Vincent,Nicole,M,35 Rue République,Nantes,44000,0618244935,nicole.vincent@laposte.net,Régime général,23/09/1973,06/11/2019,01/09/1968,1,MH-32MC,10/09/1998,,,,,09/10/2019 00:00:00,ELEVE,MAXI,ELEVE,MOYEN
14,Thomas,Olivier,Mme,144 Rue de la Paix,Marseille,13001,0612805982,olivier_thomas47@yahoo.fr,Régime TNS,27/07/1963,24/02/2022,25/06/1968,2,web,09/11/2017,15/12/2016,,,,17/12/2021 00:00:00,MAXI,ELEVE,ELEVE,ELEVE
15,Clement,Sylvie,Mme,159 Rue Victor Hugo,Montpellier,34000,0622602563,sylvie_clement@yahoo.fr,Régime général,12/02/1959,19/08/2019,,0,web,,,,,,13/06/2019 00:00:00,ELEVE,ELEVE,ELEVE,MAXI
16,Dubois,Karine,Mme,58 Rue de la Paix,Grenoble,38000,0665414586,karinedubois@hotmail.fr,Régime général,27/04/1988,01/05/2020,,0,DR,,,,,,18/03/2020 00:00:00,MOYEN,ECO,MOYEN,MOYEN
17,Laurent,Olivier,M,1 Rue des Fleurs,Nîmes,30000,0656159514,olivierlaurent@orange.fr,Régime TNS,02/05/1940,07/05/2019,24/06/1939,3,web,14/06/1994,04/09/2000,07/10/2007,,,24/04/2019 00:00:00,MAXI,MAXI,MOYEN,MAXI
18,Vincent,Thomas,Mme,78 Rue Nationale,Angers,49000,0644369957,thomas_vincent@free.fr,Régime TNS,14/04/1996,24/11/2022,,1,Celibataire_45_Eric,24/11/2016,,,,,29/08/2022 00:00:00,MOYEN,ECO,MOYEN,MOYEN
